V4_2,Data_Marking,CV,calendar-years,time,admin-geography,geography,ashe-statistics,statistics,ashe-sex,sex,ashe-working-pattern,workingpattern,ashe-hours-and-earnings,hoursandearnings,ashe-workplace-or-residence,workplaceorresidence
26135.0,,5.1,2018,2018,E08000001,Bolton,mean,Mean,female,Female,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
31121.0,,17.0,2018,2018,E08000001,Bolton,mean,Mean,male,Male,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
29261.0,,11.0,2018,2018,E08000001,Bolton,mean,Mean,all,All,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
14.56,,3.2,2018,2018,E08000001,Bolton,mean,Mean,all,All,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
14.9,,4.5,2018,2018,E08000001,Bolton,mean,Mean,male,Male,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
13.94,,3.8,2018,2018,E08000001,Bolton,mean,Mean,female,Female,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
25503.0,,4.2,2018,2018,E08000001,Bolton,mean,Mean,female,Female,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,workplace,Workplace
28675.0,,19.0,2018,2018,E08000001,Bolton,mean,Mean,male,Male,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,workplace,Workplace
27356.0,,11.0,2018,2018,E08000001,Bolton,mean,Mean,all,All,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,workplace,Workplace
14.22,,3.5,2018,2018,E08000001,Bolton,mean,Mean,female,Female,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,workplace,Workplace
14.23,,3.1,2018,2018,E08000001,Bolton,mean,Mean,male,Male,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,workplace,Workplace
14.23,,2.3,2018,2018,E08000001,Bolton,mean,Mean,all,All,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,workplace,Workplace
13.18,,3.0,2016,2016,E08000003,Manchester,mean,Mean,female,Female,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
17.5,,2.2,2016,2016,E08000003,Manchester,mean,Mean,male,Male,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,workplace,Workplace
28682.0,,4.1,2016,2016,E08000003,Manchester,mean,Mean,all,All,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
25089.0,,5.3,2016,2016,E08000003,Manchester,mean,Mean,female,Female,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
14.27,,2.3,2016,2016,E08000003,Manchester,mean,Mean,all,All,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
15.01,,3.2,2016,2016,E08000003,Manchester,mean,Mean,male,Male,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
29398.0,,3.7,2016,2016,E08000003,Manchester,mean,Mean,female,Female,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,workplace,Workplace
31201.0,,6.0,2016,2016,E08000003,Manchester,mean,Mean,male,Male,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
37249.0,,3.4,2016,2016,E08000003,Manchester,mean,Mean,male,Male,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,workplace,Workplace
33875.0,,2.6,2016,2016,E08000003,Manchester,mean,Mean,all,All,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,workplace,Workplace
16.54,,1.6,2016,2016,E08000003,Manchester,mean,Mean,all,All,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,workplace,Workplace
15.19,,2.0,2016,2016,E08000003,Manchester,mean,Mean,female,Female,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,workplace,Workplace
25660.0,,5.1,2017,2017,E08000003,Manchester,mean,Mean,female,Female,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
13.65,,2.6,2017,2017,E08000003,Manchester,mean,Mean,female,Female,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
29300.0,,3.1,2017,2017,E08000003,Manchester,mean,Mean,all,All,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
17.45,,1.5,2017,2017,E08000003,Manchester,mean,Mean,all,All,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,workplace,Workplace
32015.0,,3.7,2017,2017,E08000003,Manchester,mean,Mean,male,Male,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
15.5,,2.8,2017,2017,E08000003,Manchester,mean,Mean,male,Male,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
