V4_2,Data_Marking,CV,calendar-years,time,admin-geography,geography,ashe-statistics,statistics,ashe-sex,sex,ashe-working-pattern,workingpattern,ashe-hours-and-earnings,hoursandearnings,ashe-workplace-or-residence,workplaceorresidence
20.09,,4.8,2017,2017,E09000004,Bexley,mean,Mean,male,Male,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
40946.0,,5.3,2017,2017,E09000004,Bexley,mean,Mean,all,All,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
15.32,,5.3,2017,2017,E09000004,Bexley,mean,Mean,female,Female,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,workplace,Workplace
29292.0,,5.9,2017,2017,E09000004,Bexley,mean,Mean,female,Female,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,workplace,Workplace
16.34,,4.7,2017,2017,E09000004,Bexley,mean,Mean,male,Male,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,workplace,Workplace
48420.0,,6.9,2018,2018,E09000004,Bexley,mean,Mean,male,Male,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
34511.0,,9.9,2018,2018,E09000004,Bexley,mean,Mean,female,Female,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
42293.0,,6.2,2018,2018,E09000004,Bexley,mean,Mean,all,All,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
21.05,,4.8,2018,2018,E09000004,Bexley,mean,Mean,male,Male,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
16.99,,3.7,2018,2018,E09000004,Bexley,mean,Mean,female,Female,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
19.27,,3.3,2018,2018,E09000004,Bexley,mean,Mean,all,All,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
28747.0,,11.0,2018,2018,E09000004,Bexley,mean,Mean,female,Female,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,workplace,Workplace
37860.0,,6.0,2018,2018,E09000004,Bexley,mean,Mean,male,Male,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,workplace,Workplace
34394.0,,6.8,2018,2018,E09000004,Bexley,mean,Mean,all,All,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,workplace,Workplace
15.34,,5.1,2018,2018,E09000004,Bexley,mean,Mean,female,Female,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,workplace,Workplace
17.28,,5.0,2018,2018,E09000004,Bexley,mean,Mean,male,Male,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,workplace,Workplace
16.55,,3.7,2018,2018,E09000004,Bexley,mean,Mean,all,All,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,workplace,Workplace
32928.0,,5.2,2016,2016,E09000026,Redbridge,mean,Mean,female,Female,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
19.52,,3.4,2016,2016,E09000026,Redbridge,mean,Mean,all,All,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
47324.0,,6.2,2016,2016,E09000026,Redbridge,mean,Mean,male,Male,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
28107.0,,5.4,2016,2016,E09000026,Redbridge,mean,Mean,female,Female,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,workplace,Workplace
15.0,,4.4,2016,2016,E09000026,Redbridge,mean,Mean,female,Female,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,workplace,Workplace
16.77,,3.8,2016,2016,E09000026,Redbridge,mean,Mean,female,Female,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
35893.0,,5.3,2016,2016,E09000026,Redbridge,mean,Mean,male,Male,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,workplace,Workplace
41323.0,,4.6,2016,2016,E09000026,Redbridge,mean,Mean,all,All,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
32190.0,,4.0,2016,2016,E09000026,Redbridge,mean,Mean,all,All,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,workplace,Workplace
21.43,,4.8,2016,2016,E09000026,Redbridge,mean,Mean,male,Male,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
17.73,,4.5,2016,2016,E09000026,Redbridge,mean,Mean,male,Male,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,workplace,Workplace
16.47,,3.2,2016,2016,E09000026,Redbridge,mean,Mean,all,All,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,workplace,Workplace
